Time,# Clients
2022-06-22 00:00:00+00:00,3418
2022-06-23 00:00:00+00:00,3461
2022-06-24 00:00:00+00:00,3309
2022-06-25 00:00:00+00:00,2110
2022-06-26 00:00:00+00:00,296
2022-06-27 00:00:00+00:00,337
2022-06-28 00:00:00+00:00,3103
2022-06-29 00:00:00+00:00,3381
2022-06-30 00:00:00+00:00,2772
2022-07-01 00:00:00+00:00,3370
2022-07-02 00:00:00+00:00,2424
2022-07-03 00:00:00+00:00,278
2022-07-04 00:00:00+00:00,264
2022-07-05 00:00:00+00:00,3370
2022-07-06 00:00:00+00:00,3309
2022-07-07 00:00:00+00:00,3549
2022-07-08 00:00:00+00:00,3350
2022-07-09 00:00:00+00:00,1621
2022-07-10 00:00:00+00:00,293
2022-07-11 00:00:00+00:00,3099
2022-07-12 00:00:00+00:00,3732
2022-07-13 00:00:00+00:00,3499
2022-07-14 00:00:00+00:00,3515
2022-07-15 00:00:00+00:00,3521
2022-07-16 00:00:00+00:00,2587
2022-07-17 00:00:00+00:00,281
2022-07-18 00:00:00+00:00,3708
2022-07-19 00:00:00+00:00,3732
2022-07-20 00:00:00+00:00,296
2022-07-21 00:00:00+00:00,3714
2022-07-22 00:00:00+00:00,3455
2022-07-23 00:00:00+00:00,2656
2022-07-24 00:00:00+00:00,331
2022-07-25 00:00:00+00:00,3370
2022-07-26 00:00:00+00:00,3455
2022-07-27 00:00:00+00:00,3660
2022-07-28 00:00:00+00:00,3461
2022-07-29 00:00:00+00:00,1779
2022-07-30 00:00:00+00:00,2219
2022-07-31 00:00:00+00:00,301
2022-08-01 00:00:00+00:00,324
2022-08-02 00:00:00+00:00,336
2022-08-03 00:00:00+00:00,1768
2022-08-04 00:00:00+00:00,2925
2022-08-05 00:00:00+00:00,3108
2022-08-06 00:00:00+00:00,2563
2022-08-07 00:00:00+00:00,278
2022-08-08 00:00:00+00:00,3521
2022-08-09 00:00:00+00:00,3477
2022-08-10 00:00:00+00:00,3477
2022-08-11 00:00:00+00:00,3386
2022-08-12 00:00:00+00:00,3211
2022-08-13 00:00:00+00:00,2457
2022-08-14 00:00:00+00:00,302
2022-08-15 00:00:00+00:00,513
2022-08-16 00:00:00+00:00,3397
2022-08-17 00:00:00+00:00,3402
2022-08-18 00:00:00+00:00,3630
2022-08-19 00:00:00+00:00,3434
2022-08-20 00:00:00+00:00,2424
2022-08-21 00:00:00+00:00,307
2022-08-22 00:00:00+00:00,1995
2022-08-23 00:00:00+00:00,1404
2022-08-24 00:00:00+00:00,1366
2022-08-25 00:00:00+00:00,1533
2022-08-26 00:00:00+00:00,1791
2022-08-27 00:00:00+00:00,779
2022-08-28 00:00:00+00:00,307
2022-08-29 00:00:00+00:00,1476
2022-08-30 00:00:00+00:00,1440
2022-08-31 00:00:00+00:00,1400
2022-09-01 00:00:00+00:00,1328
2022-09-02 00:00:00+00:00,1604
2022-09-03 00:00:00+00:00,858
2022-09-04 00:00:00+00:00,300
2022-09-05 00:00:00+00:00,2634
2022-09-06 00:00:00+00:00,3036
2022-09-07 00:00:00+00:00,1862
2022-09-08 00:00:00+00:00,2796
2022-09-09 00:00:00+00:00,2310
2022-09-10 00:00:00+00:00,1820
2022-09-11 00:00:00+00:00,312
2022-09-12 00:00:00+00:00,3211
2022-09-13 00:00:00+00:00,3666
2022-09-14 00:00:00+00:00,3927
2022-09-15 00:00:00+00:00,3648
2022-09-16 00:00:00+00:00,3560
2022-09-17 00:00:00+00:00,2360
2022-09-18 00:00:00+00:00,279
2022-09-19 00:00:00+00:00,3543
2022-09-20 00:00:00+00:00,3532
2022-09-21 00:00:00+00:00,3654
2022-09-22 00:00:00+00:00,3543
